category,englishExample,englishMeaning,headword,hindiExample,hindiMeaning,kashmiriExample
N,I got nine million dollars.,million,دَہ لَچھ,,दस_लाख,
N,Her mind was full of scary thoughts.,mind,ذِہٮ۪ن,,मनःस्थिति,
N,He has a sharp mind.,mind,دٮ۪ماغ،عَقٕل,,बुद्धि,
N,This is the first thing that came into my mind.,mind,دٮ۪ماغ,,दिमाग,
N,He is one of the greatest minds of his period.,mind,عَقٕل مَنٛد،دٲنِشوَر,,बुद्धिशील{व्यक्ति},
N,Do not let your mind deviate from your work.,mind,دٮ۪ماغ,,मन,
V,He does not mind the noise.,mind,حَرجہٕ آسُن,,आपत्ति_होना[करना],
V,You should mind your language.,mind,زَبان سَمبالٕنۍ,,ध्यान_देना,
Pron,This pen is mine.,mine,میون,,मेरा,
N,Ram is working in a coal mine.,mine,کھان,,खान,
V,They are mining for coal in this area.,mine,کھان کَھنٕنۍ,,खान_खोदना,
N,Gold  is a valuable mineral.,mineral,معد نِیات,,खनज,
Adj,Fortunately there were no injuries and damage to the factory was minimal.,minimal,کَمٕے,,छोटे_से_छोटे,
Adj,We pay the minimum taxes.,minimum,کَم کھۄتہٕ کَم,,कम_से_कम,
N,The minimum you can do is grant her leave.,minimum,کَم کھۄتہٕ کَم,,कम_से_कम,
N,The minister was genuinely pleased by the work.,minister,ؤزیٖر,,मंत्री,
V,"Minister her properly, she`s the future queen.",minister,خٔدمَت کَرٕنۍ,,सेवा_करना,
N,He is young for this work.,minor,نابالِغ,,नाबालग,
N,It is a privileged minority of people who can afford two homes.,minority,اَقلِیَت,,अल्पसंख्यक,
N,The minute passed and she could not say anything.,minute,مِنَٹ,,मिनट,
N,The minutes of the meeting are not yet ready.,minute,میٖٹِنٛگِہ ہِنٛز کاروٲیی,,मीटिंग_का_विवरण,
Adj,It was a minute particle but hurt the eye badly.,minute,لۄکُٹ،نیُک,,सूक्ष्म,
N,The miracle left everyone speechless.,miracle,معجزہ,,चमत्कार,
N,She looked in the mirror.,mirror,ٲنہٕ،شیٖشہٕ,,दर्पण,
N,He gave her a job to rescue her from the misery.,misery,تَکلیٖف،مُصیٖبَت,,दुःख/विपत्ती,
V,He misquoted the meaning of my sentence.,misquote,غَلَط مَطلب کَڑُن,,गलत_उद्धरण_देना,
V,He was caught before he could misrepresent in the court.,misrepresent,غَلَط پٲٹھۍ پیش کَرُن,,गलत_प्रतिनिधित्व_करना,
V,She would never miss the target.,miss,پِھژٕنۍ,,चूक_जाना,
V,She missed the train.,miss,اَتھہٕ گَژٕھنۍ,,छूट_जाना,
V,I miss my sister.,miss,لول یُن,,कमी_महसूस_करना,
V,He was sure that he would not miss this time.,miss,ناکام گَژُھن,,असफल_होना,
N,She is a gorgeous miss.,miss,کوٗر,,कुमारी,
N,The missile technology has advanced a lot.,missile,میٖزٲیِل,,मिसाइल{फेंक_कर_मारने_योग्य_चीज},
Adj,The missing tape was found intact.,missing,روومُت,,खोया_हुआ,
N,The mission returned successful and confident.,mission,مِشَن,,शिष्टमंडल,
N,He cherished his role as a missionary.,missionary,مِشنٔری،عیٖسٲیی مُبلِغ,,धर्म_प्रचार_करने_वाला,
N,Nothing was visible due to the mist.,mist,وٕنَل,,धुंध,
N,He admitted his mistake.,mistake,غَلطی,,गलती,
V,I mistook her for her sister.,mistake,غَلَط سَمجُھن،وَشفہٕ گَژُھن,,गलत_समझना,
Adj,It was a case of mistaken identity.,mistaken,غَلَط,,गलत,
N,Don`t misuse public property.,misuse,غَلَط اِستعمال,,गलत_प्रयोग,
V,She mixed the sounds to create the effect.,mix,مِلاوُن،رَلاوُن,,मिश्रण_करना,
V,Mix the coupons properly.,mix,مِلاوُن,,मिलाना,
V,The colors mix well.,mix,حَل گَژُھن،رَلُن,,घुलना,
N,Wait till the residue settles down in the mix.,mix,مُرکَب،مِل مِش,,मिश्रण/घोल,
Adj,She cooked mixed vegetables.,mixed,رَلہٕ مِلہٕ,,मिश्र/मिला_हुआ,
N,Churn the mixture well before pouring in the pan.,mixture,مُرکَب،مِلہٕ مِش,,घोल,
N,The police found difficult to control the mob.,mob,ہُجوٗم،جَم گوٚٹ،بِرٕ,,भीड़,
Adj,He was glad to be mobile again.,mobile,پھیروُن تُھروُن,,चलता_फिरता,
V,The work would be easily done if you could just mobilise the workers.,mobilise,حَرکٔژ مَنٛز اَنُن,,गतिशील_करना,
N,He is mod.,mod,فٲشنی,,आधुनक,
N,I have no ready mode of transportation to go there.,mode,طٔریٖقہٕ,,तरीका,
N,They prepared a computer model for the exhibition.,model,نموٗنہٕ,,नमूना,
N,She is a model.,model,ماڈَل,,माडेल,
Adj,He has a moderate income.,moderate,اَوسط,,औसत,
V,You have to learn to moderate your anger.,moderate,کَم کَرُن,,धीमा_करना[होना],
Adj,He has a very broad and modern outlook.,modern,جٔدیٖد ،نوٚو,,आधुनक,
Adj,She is not a modest person.,modest,نَرٕم مِزاز,,विनम्र,
V,We need to modify the system.,modify,تَبدیٖلی اَنٕنۍ,,सुधारना,
Adj,She studied molecular biology.,molecular,مالِقیوٗلَر,,आण्वक,
N,I will be ready just in a moment.,moment,ژیُہہ،برِٛنز,,क्षण,
N,The gathering momentum towards central control of the economy is worrying.,momentum,رَفتار,,गति,
N,I need money to buy some books.,money,پونٛسہ,,पैसा,
N,The monk was found to be a fraud.,monk,گۄسٲنۍ,,भिक्षु,
N,The monkey ate potatoes from the box.,monkey,پونٛز,,बंदर,
N,The company has a monopoly in the sharemarket.,monopoly,شٔرۍ کوٚت,,एकाधिपत्य,
N,The monsters were 8 feet high.,monster,کھوژٕوُن,,विरूप_प्राणी,
N,The monsoons are the main source of rainfall in the Southern parts of India.,monsoon,وَہرٲژ,,बरसाती_पवन,
N,There are 12 months in a year.,month,رٮ۪تھ,,महीना,
Adj,A monthly meeting is held by the shareholders.,monthly,ماہوار,,माहवार,
N,"The Taj mahal is a monument, built by Shahjahan in memory of his wife.",monument,یادگار,,स्मारक,
N,The colour combination in an office is very important in setting the mood of the employees and customers.,mood,مِزاز,,मनोदशा,
N,The moon is our natural source of light during the night.,moon,ژٔندٕر،زوٗن,,चन्द्रमा,
N,This is the moral of the story.,moral,مُدا,,सादाचार,
Adj,She is an extremely moral woman.,moral,اِخلٲقی,,नैतक,
N,"Inspite of the defeat, morale was still high in the team.",morale,حوصلہٕ،جَزبہٕ,,मनोदशा,
N,The standards of morality of the people are on the increase.,morality,اِخلاق,,नैतिकता,
Adv,More people live in the capital than in the rest of the country.,more,زیادٕ,,अधिक/ज्यादा,
Adv,"He did not turn up. Moreover, we know that he was sick.",moreover,اَمِہ علاوٕ,,इसके_अतिरिक्त,
N,Isn`t it a pleasant morning?,morning,صُبح ،فَجٕر,,सुबह/प्रभात,
N,They signed a mortgage agreement.,mortgage,گِروی,,गिरवी,
Adv,Which of you earns the most money?,most,زیادٕ,,सब्से_अधक,
Adj,She is the most beautiful girl in this group.,most,ساروٕے کھۄتہٕ زیادٕ,,सबसे_अधक,
Adv,We watch television mostly on Sundays.,mostly,عام پٲٹھۍ،عٔموٗمَن,,अधिकतर,
N,We went to a motel and took rest.,motel,سَرٲے,,सराय,
N,Mother is the best creation of God.,mother,موج,,माता/जननी,
V,"His attendants gathered round him, but he motioned them away.",motion,اِشارٕ کَرُن,,प्रवर्तन_कर,
N,They showed the goal again in slow motion.,motion,حَرکَت,,प्रवर्तन,
N,Newton`s laws of motion are widely accepted by the world.,motion,حرکَت,,गति,
V,My mother motivated me to choose this profession only.,motivate,مٲنِراوُن،آٹٕنۍ واٹٕنۍ اَنُن,,प्रेरित_करना,
N,There is a motive behind every plan of action.,motive,وَجہ،مقصد,,प्रयोजन,
N,The washing machine has an electric motor.,motor,موٹَر,,प्रेरक/चालक,
N,"When the jelly is set, turn the mould upside down to tip it out onto a plate.",mould,سانٛچہٕ,,साँचा,
V,The bricks are moulded by hand.,mould,شَکٕل دِنۍ,,गढ़ना,
N,There is a protective moulding around the car.,moulding,۔۔۔,,गढ़त,
N,Mount Everest is the highest peak in the world.,mount,پہاڑ,,पर्वत,
V,He mounted the platform and begin to speak to the assembled crowd.,mount,کھسُن,,चढ़_कर_बैठना,
N,He was the first person to reach the mountain.,mountain,پٕہاڑ,,पर्वत,
N,The Himalayan mountains are on the borders of India.,mountain,پٕہاڑ,,पहाड़/पर्वत/गिरि,
V,She is mourning for her grandfather.,mourn,ماتَم کَرُن,,दुखी_होना,
N,The mouse was on the floor.,mouse,گَگٕر،گَگُر,,चुहिया/चूहा,
N,Please open your mouth.,mouth,ٲس,,मुँह,
N,We stood at the mouth of the cave.,mouth,گوٚل,,मुहाना,
Adj,Movable washing machines are good.,movable,پَکوٕنۍ,,एक_स्थान_से_दूसरे_स्थान_तक_ले_जाने_लायक,
V,Please move a bit.,move,پَکُن،ہِلُن,,चलना/हिलना,
N,The industrial movement brought about a great change all over the world.,movement,تحریٖک,,गति,
N,That was really a good movie.,movie,فِلِم,,चलचित्र,
Adj,The teacher gave a moving talk at the end of the fare well.,moving,جَزباتہٕ ہوٚت,,हृदय_स्पर्शी,
Adv,There is nothing much on TV tonight.,much,زیادٕ,,अधक,
Adj,I don`t like much sweets.,much,زِیادٕ,,बहुत,
N,There was a lot of mud in the play ground.,mud,رَب,,कीचड़,
Adj,I made multiple copies of the report.,multiple,واریاہ,,बहुत,
V,Multiply four with two to get eight.,multiply,ضرٕب دیُن،ضرٕب کَرُن,,गुणा_करना,
Adj,The municipal corporation of Hyderabad is incharge of the cleanliness of the city.,municipal,میونسِپٕل,,नगरीय,
N,He was charged with murder.,murder,قَتٕل,,खून,
N,The police are treating his death as a case of murder.,murder,قَتٕل,,हत्या,
N,He is a murderer.,murderer,قٲتِل،خوٗنی,,हत्यारा,
N,A murmur of agreement came from the crowd.,murmur,پِھس رارَے,,मर्मराहट,
N,Chetan has well developed muscles.,muscle,مَژھ,,पेशी/ताकत,
Adj,Ranjit is tall and muscular.,muscular,چۄٹہٕ مۄٹہٕ،صحتَس مَنٛز,,पेशीय,
N,The Salarjung museum has a huge collection of wonderful things.,museum,عَجٲیِب گَر,,संग्रहालय,
N,Music is a way of expressing emotions which cannot be expressed through words.,music,موسیٖقی,,संगीत,
Adj,The musical concert was attended by a large crowd.,musical,موسیٖقی دار,,संगीत,
N,Balakrishna Prasad is one of the famous musicians.,musician,موسیٖقار,,संगीतकार,
V,I must go there today.,must,پَزِ,,चाहिये,
N,They grow mustard in their fields.,mustard,تِلہٕ گۄگُل,,सरसों,
N,There were mutters that exams should be postponed.,mutter,پِھس پِھس,,बड़बड़ाहट,
VTI,He muttered to himself.,mutter,پِھپھرارَے کَرٕنۍ,,बड़बड़ाना,
Adj,"Despite differences in background and outlook, their relationship was based on mutual trust and understanding.",mutual,باہمی،پانہٕ ؤنۍ,,पारस्परक,
Pron,Sherly is my classmate.,my,میون،میٲنۍ,,मेरा,
ReflPron,I would love to do my work myself.,myself,پانَے,,स्वयं,
Pron,I have made all the report myself.,myself,پٲنۍ پانَے,,स्वयं,
